time,orderId,symbol,side,type,origQty,price,status
2026-05-02 01:04:32,11702957,BTCUSDT,BUY,MARKET,0.01000000,0.00000000,FILLED
2026-05-02 01:04:42,11702977,BTCUSDT,BUY,MARKET,0.01000000,0.00000000,FILLED
